time/episodes,rollout/ep_len_mean,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/fps,train/critic_loss,train/actor_loss,train/n_updates,train/ent_coef_loss,train/learning_rate,train/ent_coef,eval/mean_reward,eval/mean_ep_length
236,500.0,3831.7838814300003,265,120000,452,906.4016668701172,-1125.9225927734376,13700,-0.0010709188203327357,0.0003,1.094013156890869,,
240,500.0,3831.7838814300003,265,120000,452,,,,,,,,
244,500.0,3887.57439446,274,124000,452,847.4474169921875,-1152.8659545898438,14200,0.0019697813177481293,0.0003,1.114273908138275,,
248,500.0,3887.57439446,274,124000,452,,,,,,,,
252,500.0,4000.1732099300007,283,128000,451,953.3501342773437,-1178.991142578125,14700,0.0018603193177841603,0.0003,1.0964342856407165,,
256,500.0,4000.1732099300007,283,128000,451,,,,,,,,
260,500.0,4109.05365023,292,132000,451,921.1472052001953,-1203.8095678710938,15200,0.001221380347851664,0.0003,1.0751953506469727,,
264,500.0,4109.05365023,292,132000,451,,,,,,,,
268,500.0,4350.44808269,301,136000,450,727.5489013671875,-1233.1833227539062,15700,0.001039407595526427,0.0003,1.0751141238212585,,
272,500.0,4350.44808269,301,136000,450,,,,,,,,
276,500.0,4713.29831618,310,140000,450,819.2051303100586,-1249.7604516601561,16200,0.0010103325988166034,0.0003,1.0936682558059692,,
280,500.0,4713.29831618,310,140000,450,,,,,,,,
284,500.0,5185.678424610001,319,144000,450,529.6056683349609,-1279.6582104492188,16700,-0.0018493130104616285,0.0003,1.127458508014679,,
288,500.0,5185.678424610001,319,144000,450,,,,,,,,
292,500.0,5762.43059874,328,148000,450,614.6258795166016,-1307.397236328125,17200,0.00016798798460513354,0.0003,1.1919250416755676,,
296,500.0,5762.43059874,328,148000,450,,,,,,,,
300,500.0,6329.283475640001,338,152000,449,650.2263485717773,-1325.5960791015625,17700,0.00011653984431177378,0.0003,1.2092221593856811,,
304,500.0,6329.283475640001,338,152000,449,,,,,,,,
308,500.0,6952.123254549999,347,156000,449,580.5368789672851,-1354.5845190429689,18200,-0.0038053879397921264,0.0003,1.2043992829322816,,
312,500.0,6952.123254549999,347,156000,449,,,,,,,,
,,,,160000,,610.8250384521484,-1379.3487109375,18700,-0.0038908485672436654,0.0003,1.213396463394165,10922.411247600001,500.0
316,500.0,7553.86857896,360,160000,444,,,,,,,,
320,500.0,7553.86857896,360,160000,444,,,,,,,,
324,500.0,8242.858323890001,368,164000,444,559.6022692871094,-1399.0605102539062,19200,-0.004264223836362362,0.0003,1.2003983998298644,,
328,500.0,8242.858323890001,368,164000,444,,,,,,,,
332,500.0,8879.00333855,377,168000,444,594.249299621582,-1432.2474365234375,19700,0.0007223981758579612,0.0003,1.1827733206748963,,
336,500.0,8879.00333855,377,168000,444,,,,,,,,
340,500.0,9379.06247768,386,172000,445,493.66038528442385,-1458.1641284179686,20200,-0.0008798895357176661,0.0003,1.1762662649154663,,
344,500.0,9379.06247768,386,172000,445,,,,,,,,
348,500.0,9916.35476341,395,176000,445,496.5071875,-1477.5403393554689,20700,0.003528627431951463,0.0003,1.1770409369468688,,
352,500.0,9916.35476341,395,176000,445,,,,,,,,
356,500.0,10488.05040479,403,180000,445,547.2382611083984,-1501.7071875,21200,0.002796086409362033,0.0003,1.1446020960807801,,
360,500.0,10488.05040479,403,180000,445,,,,,,,,
364,500.0,11016.179568389998,412,184000,445,681.8322485351563,-1516.0987841796875,21700,-0.0024318441189825537,0.0003,1.1167977714538575,,
