train/learning_rate,rollout/ep_len_mean,time/episodes,train/n_updates,time/total_timesteps,train/critic_loss,time/fps,train/actor_loss,rollout/ep_rew_mean,time/time_elapsed,train/ent_coef,eval/mean_reward,eval/mean_ep_length
,500.0,604,,304000,,707,,-6658.13050628,429,,,
,500.0,608,,304000,,707,,-6658.13050628,429,,,
0.0003,,,60928,310000,394.9465970993042,,1568.8762817382812,,,0.10000000149011612,-6983.8262856,500.0
0.0003,500.0,612,61056,312000,461.5653862953186,706,1567.9252166748047,-6620.4355796400005,441,0.10000000149011612,,
,500.0,616,,312000,,706,,-6620.4355796400005,441,,,
,500.0,620,,312000,,706,,-6620.4355796400005,441,,,
,500.0,624,,312000,,706,,-6620.4355796400005,441,,,
0.0003,,,61552,320000,443.23845863342285,,1566.7936096191406,,,0.10000000149011612,-7736.3810264,500.0
,500.0,628,,320000,,705,,-6755.16221715,453,,,
,500.0,632,,320000,,705,,-6755.16221715,453,,,
,500.0,636,,320000,,705,,-6755.16221715,453,,,
,500.0,640,,320000,,705,,-6755.16221715,453,,,
0.0003,500.0,644,62064,328000,404.3613557815552,709,1562.993049621582,-6854.692239209999,462,0.10000000149011612,,
,500.0,648,,328000,,709,,-6854.692239209999,462,,,
,500.0,652,,328000,,709,,-6854.692239209999,462,,,
,500.0,656,,328000,,709,,-6854.692239209999,462,,,
0.0003,,,62192,330000,443.88790702819824,,1567.752212524414,,,0.10000000149011612,-7732.667544999999,500.0
0.0003,500.0,660,62560,336000,427.56219482421875,708,1564.2917022705078,-6885.2725240400005,474,0.10000000149011612,,
,500.0,664,,336000,,708,,-6885.2725240400005,474,,,
,500.0,668,,336000,,708,,-6885.2725240400005,474,,,
,500.0,672,,336000,,708,,-6885.2725240400005,474,,,
0.0003,,,62816,340000,376.6698217391968,,1563.2737579345703,,,0.10000000149011612,-7745.704584599999,500.0
0.0003,500.0,676,63056,344000,265.5464277267456,707,1565.005989074707,-6907.8560099100005,485,0.10000000149011612,,
,500.0,680,,344000,,707,,-6907.8560099100005,485,,,
,500.0,684,,344000,,707,,-6907.8560099100005,485,,,
,500.0,688,,344000,,707,,-6907.8560099100005,485,,,
0.0003,,,63440,350000,370.6953077316284,,1566.2619247436523,,,0.10000000149011612,-7720.6410204,500.0
0.0003,500.0,692,63552,352000,348.80229568481445,707,1565.1172332763672,-6964.15828982,497,0.10000000149011612,,
,500.0,696,,352000,,707,,-6964.15828982,497,,,
,500.0,700,,352000,,707,,-6964.15828982,497,,,
,500.0,704,,352000,,707,,-6964.15828982,497,,,
0.0003,,,64064,360000,429.50143241882324,,1567.7990112304688,,,0.10000000149011612,-7736.790464799999,500.0
,500.0,708,,360000,,706,,-6886.58065268,509,,,
,500.0,712,,360000,,706,,-6886.58065268,509,,,
,500.0,716,,360000,,706,,-6886.58065268,509,,,
,500.0,720,,360000,,706,,-6886.58065268,509,,,
0.0003,500.0,724,64560,368000,389.2847490310669,710,1568.7926025390625,-6746.965653329999,518,0.10000000149011612,,
,500.0,728,,368000,,710,,-6746.965653329999,518,,,
,500.0,732,,368000,,710,,-6746.965653329999,518,,,
,500.0,736,,368000,,710,,-6746.965653329999,518,,,
0.0003,,,64688,370000,385.6587619781494,,1570.9276504516602,,,0.10000000149011612,-7755.077096000001,500.0
0.0003,500.0,740,65056,376000,329.4669246673584,709,1569.160774230957,-6816.827127749999,529,0.10000000149011612,,
,500.0,744,,376000,,709,,-6816.827127749999,529,,,
,500.0,748,,376000,,709,,-6816.827127749999,529,,,
,500.0,752,,376000,,709,,-6816.827127749999,529,,,
0.0003,,,65312,380000,322.1772918701172,,1568.639503479004,,,0.10000000149011612,-7746.7864054,500.0
0.0003,500.0,756,65552,384000,272.7709927558899,708,1570.9032592773438,-6747.76322144,541,0.10000000149011612,,
,500.0,760,,384000,,708,,-6747.76322144,541,,,
,500.0,764,,384000,,708,,-6747.76322144,541,,,
,500.0,768,,384000,,708,,-6747.76322144,541,,,
0.0003,,,65936,390000,353.01113510131836,,1570.1752624511719,,,0.10000000149011612,-7768.064915600002,500.0
0.0003,500.0,772,66064,392000,372.0706605911255,707,1569.8408660888672,-6800.614042419999,553,0.10000000149011612,,
,500.0,776,,392000,,707,,-6800.614042419999,553,,,
,500.0,780,,392000,,707,,-6800.614042419999,553,,,
,500.0,784,,392000,,707,,-6800.614042419999,553,,,
0.0003,,,66560,400000,319.7588973045349,,1566.633560180664,,,0.10000000149011612,-7751.941022599999,500.0
,500.0,788,,400000,,706,,-6794.671298749999,565,,,
,500.0,792,,400000,,706,,-6794.671298749999,565,,,
