time/time_elapsed,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/episodes,time/fps,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
329,500.0,228000,7466.3956956,456,691,,,,,,
335,500.0,232000,7465.64614977,460,691,27700,199479.6354296875,-226.14711578369142,0.0002,,
335,500.0,232000,7465.64614977,464,691,,,,,,
341,500.0,236000,7463.36792839,468,691,28200,211880.210703125,-186.4936001586914,0.0002,,
341,500.0,236000,7463.36792839,472,691,,,,,,
,,240000,,,,28700,179722.97626953124,-213.10907165527342,0.0002,500.0,7436.21991
349,500.0,240000,7471.411272449998,476,685,,,,,,
349,500.0,240000,7471.411272449998,480,685,,,,,,
355,500.0,244000,7474.103076420001,484,686,29200,186831.232421875,-246.97103546142577,0.0002,,
355,500.0,244000,7474.103076420001,488,686,,,,,,
361,500.0,248000,7472.844953729999,492,686,29700,190170.4857421875,-371.3811285400391,0.0002,,
361,500.0,248000,7472.844953729999,496,686,,,,,,
366,500.0,252000,7474.3376453500005,500,686,30200,199723.631328125,-273.370544128418,0.0002,,
366,500.0,252000,7474.3376453500005,504,686,,,,,,
372,500.0,256000,7465.29294392,508,687,30700,219255.57390625,-190.94789276123046,0.0002,,
372,500.0,256000,7465.29294392,512,687,,,,,,
378,500.0,260000,7458.283176519999,516,687,31200,207793.8666015625,-385.307158203125,0.0002,,
378,500.0,260000,7458.283176519999,520,687,,,,,,
384,500.0,264000,7446.402682649999,524,687,31700,192970.1405078125,-324.7630291748047,0.0002,,
384,500.0,264000,7446.402682649999,528,687,,,,,,
390,500.0,268000,7442.663913859999,532,686,32200,186795.242734375,-435.9752374267578,0.0002,,
390,500.0,268000,7442.663913859999,536,686,,,,,,
396,500.0,272000,7437.36532316,540,685,32700,193082.064609375,-338.1742822265625,0.0002,,
396,500.0,272000,7437.36532316,544,685,,,,,,
402,500.0,276000,7422.288404120002,548,685,33200,199828.762578125,-372.38254211425783,0.0002,,
402,500.0,276000,7422.288404120002,552,685,,,,,,
408,500.0,280000,7414.959877019999,556,685,33700,169952.1139453125,-512.7336688232422,0.0002,,
408,500.0,280000,7414.959877019999,560,685,,,,,,
414,500.0,284000,7398.08864288,564,685,34200,190290.35015625,-536.2671221923828,0.0002,,
414,500.0,284000,7398.08864288,568,685,,,,,,
420,500.0,288000,7368.1905479199995,572,685,34700,172170.7918359375,-431.5624432373047,0.0002,,
420,500.0,288000,7368.1905479199995,576,685,,,,,,
425,500.0,292000,7352.95864666,580,686,35200,173360.161640625,-472.45607788085937,0.0002,,
425,500.0,292000,7352.95864666,584,686,,,,,,
431,500.0,296000,7341.31446812,588,686,35700,172353.15548828125,-426.94341064453124,0.0002,,
431,500.0,296000,7341.31446812,592,686,,,,,,
437,500.0,300000,7325.99328119,596,686,36200,183014.42875,-541.3133020019532,0.0002,,
437,500.0,300000,7325.99328119,600,686,,,,,,
442,500.0,304000,7320.096936800001,604,686,36700,103613.37451171875,-612.8707933044434,0.0002,,
442,500.0,304000,7320.096936800001,608,686,,,,,,
448,500.0,308000,7307.179654479999,612,687,37200,68599.3818359375,-698.1186749267578,0.0002,,
448,500.0,308000,7307.179654479999,616,687,,,,,,
453,500.0,312000,7302.088081610002,620,687,37700,38082.59108398438,-844.88251953125,0.0002,,
453,500.0,312000,7302.088081610002,624,687,,,,,,
459,500.0,316000,7224.50321907,628,687,38200,31543.86130859375,-950.611328125,0.0002,,
459,500.0,316000,7224.50321907,632,687,,,,,,
,,320000,,,,38700,18021.36103515625,-977.38095703125,0.0002,500.0,7018.286452
468,500.0,320000,7110.582042970002,636,683,,,,,,
468,500.0,320000,7110.582042970002,640,683,,,,,,
474,500.0,324000,7032.65021252,644,683,39200,21713.5941796875,-980.4941284179688,0.0002,,
474,500.0,324000,7032.65021252,648,683,,,,,,
480,500.0,328000,6925.226991169999,652,683,39700,21828.48123046875,-1022.541904296875,0.0002,,
480,500.0,328000,6925.226991169999,656,683,,,,,,
485,500.0,332000,6819.7783945,660,683,40200,12576.17857421875,-1086.51255859375,0.0002,,
485,500.0,332000,6819.7783945,664,683,,,,,,
491,500.0,336000,6696.1054412799995,668,683,40700,13625.395942382813,-1107.3122338867188,0.0002,,
491,500.0,336000,6696.1054412799995,672,683,,,,,,
497,500.0,340000,6528.214434120001,676,684,41200,9541.467944335938,-1136.17318359375,0.0002,,
497,500.0,340000,6528.214434120001,680,684,,,,,,
502,500.0,344000,6393.5435099199985,684,684,41700,7064.215263671875,-1182.7013037109375,0.0002,,
502,500.0,344000,6393.5435099199985,688,684,,,,,,
508,500.0,348000,6238.99407539,692,684,42200,5154.575209960937,-1217.3884521484374,0.0002,,
508,500.0,348000,6238.99407539,696,684,,,,,,
514,500.0,352000,6083.375276510001,700,684,42700,5168.83560546875,-1268.7884326171875,0.0002,,
514,500.0,352000,6083.375276510001,704,684,,,,,,
519,500.0,356000,5895.90650612,708,685,43200,4546.2133984375,-1301.824482421875,0.0002,,
519,500.0,356000,5895.90650612,712,685,,,,,,
525,500.0,360000,5787.500365059998,716,684,43700,4838.552055664062,-1336.4942333984375,0.0002,,
525,500.0,360000,5787.500365059998,720,684,,,,,,
531,500.0,364000,5740.947325480001,724,684,44200,4533.1410546875,-1364.1161962890626,0.0002,,
531,500.0,364000,5740.947325480001,728,684,,,,,,
537,500.0,368000,5675.187506440001,732,685,44700,3652.09375,-1386.9299609375,0.0002,,
537,500.0,368000,5675.187506440001,736,685,,,,,,
543,500.0,372000,5646.539575230001,740,685,45200,3821.0870166015625,-1399.7143896484374,0.0002,,
543,500.0,372000,5646.539575230001,744,685,,,,,,
549,500.0,376000,5600.548981690001,748,684,45700,3236.96064453125,-1409.1702734375,0.0002,,
549,500.0,376000,5600.548981690001,752,684,,,,,,
555,500.0,380000,5597.842139639999,756,684,46200,3114.66263671875,-1416.1030908203124,0.0002,,
555,500.0,380000,5597.842139639999,760,684,,,,,,
560,500.0,384000,5562.3562190699995,764,684,46700,2752.2720166015624,-1412.9867333984375,0.0002,,
560,500.0,384000,5562.3562190699995,768,684,,,,,,
566,500.0,388000,5579.490727019999,772,684,47200,2596.8743920898437,-1409.871796875,0.0002,,
566,500.0,388000,5579.490727019999,776,684,,,,,,
572,500.0,392000,5594.20077484,780,684,47700,2575.4519897460937,-1414.6738232421876,0.0002,,
572,500.0,392000,5594.20077484,784,684,,,,,,
578,500.0,396000,5587.80508351,788,684,48200,2631.8929052734375,-1418.58484375,0.0002,,
578,500.0,396000,5587.80508351,792,684,,,,,,
,,400000,,,,48700,2475.991728515625,-1425.3761181640625,0.0002,500.0,6073.761503799999
587,500.0,400000,5629.85740881,796,681,,,,,,
587,500.0,400000,5629.85740881,800,681,,,,,,
593,500.0,404000,5701.864212500001,804,681,49200,2560.6748583984377,-1440.5129638671874,0.0002,,
593,500.0,404000,5701.864212500001,808,681,,,,,,
598,500.0,408000,5793.56503165,812,681,49700,2475.4964208984375,-1448.3394482421875,0.0002,,
598,500.0,408000,5793.56503165,816,681,,,,,,
604,500.0,412000,5846.062984789999,820,681,50200,2517.0007788085936,-1454.258046875,0.0002,,
604,500.0,412000,5846.062984789999,824,681,,,,,,
609,500.0,416000,5941.333329119999,828,682,50700,2356.8690966796876,-1458.1516455078124,0.0002,,
609,500.0,416000,5941.333329119999,832,682,,,,,,
615,500.0,420000,6011.25823533,836,681,51200,2115.7335302734373,-1467.209619140625,0.0002,,
615,500.0,420000,6011.25823533,840,681,,,,,,
621,500.0,424000,6092.651863160001,844,682,51700,1972.1229248046875,-1467.24435546875,0.0002,,
621,500.0,424000,6092.651863160001,848,682,,,,,,
627,500.0,428000,6210.857709669999,852,682,52200,1901.0852465820312,-1472.2709326171876,0.0002,,
627,500.0,428000,6210.857709669999,856,682,,,,,,
632,500.0,432000,6299.433111939999,860,682,52700,1707.0648413085937,-1473.3624560546875,0.0002,,
632,500.0,432000,6299.433111939999,864,682,,,,,,
