time/time_elapsed,time/episodes,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_ep_length,eval/mean_reward
181,260,725,132000,500.0,9113.72292047,0.0003,15200,1095.7250854492188,-601.7782739257813,,
181,264,725,132000,500.0,9113.72292047,,,,,,
187,268,725,136000,500.0,8977.900275229998,0.0003,15700,1011.6600897216797,-619.1962768554688,,
187,272,725,136000,500.0,8977.900275229998,,,,,,
193,276,725,140000,500.0,8963.78481034,0.0003,16200,968.0026129150391,-642.6078564453124,,
193,280,725,140000,500.0,8963.78481034,,,,,,
198,284,725,144000,500.0,8920.97823418,0.0003,16700,961.1324194335938,-656.4049633789062,,
198,288,725,144000,500.0,8920.97823418,,,,,,
204,292,724,148000,500.0,8894.748163600001,0.0003,17200,1224.6228356933593,-672.8257250976562,,
204,296,724,148000,500.0,8894.748163600001,,,,,,
209,300,724,152000,500.0,8960.67234977,0.0003,17700,1031.5496710205077,-691.77779296875,,
209,304,724,152000,500.0,8960.67234977,,,,,,
215,308,724,156000,500.0,8902.33278089,0.0003,18200,925.004273071289,-710.8797192382813,,
215,312,724,156000,500.0,8902.33278089,,,,,,
,,,160000,,,0.0003,18700,938.5615576171875,-728.936201171875,500.0,8057.723767999999
223,316,715,160000,500.0,8880.21107011,,,,,,
223,320,715,160000,500.0,8880.21107011,,,,,,
229,324,715,164000,500.0,8841.16903488,0.0003,19200,896.1447021484375,-743.0676611328125,,
229,328,715,164000,500.0,8841.16903488,,,,,,
234,332,715,168000,500.0,8800.42082549,0.0003,19700,928.2831036376953,-762.5966333007813,,
234,336,715,168000,500.0,8800.42082549,,,,,,
240,340,715,172000,500.0,8884.36556194,0.0003,20200,999.8546362304687,-780.9834130859375,,
240,344,715,172000,500.0,8884.36556194,,,,,,
246,348,715,176000,500.0,8977.749052050001,0.0003,20700,807.1014794921875,-799.1112109375,,
246,352,715,176000,500.0,8977.749052050001,,,,,,
251,356,715,180000,500.0,9123.927737310001,0.0003,21200,938.9814349365234,-815.9371240234375,,
251,360,715,180000,500.0,9123.927737310001,,,,,,
257,364,715,184000,500.0,9347.659138390001,0.0003,21700,838.0725262451172,-827.1165795898437,,
257,368,715,184000,500.0,9347.659138390001,,,,,,
262,372,715,188000,500.0,9662.93293926,0.0003,22200,707.8347491455078,-850.0755639648437,,
262,376,715,188000,500.0,9662.93293926,,,,,,
268,380,715,192000,500.0,9764.160824059998,0.0003,22700,853.7803771972656,-867.1445141601563,,
268,384,715,192000,500.0,9764.160824059998,,,,,,
273,388,715,196000,500.0,9946.54726193,0.0003,23200,821.3483853149414,-883.862880859375,,
273,392,715,196000,500.0,9946.54726193,,,,,,
279,396,715,200000,500.0,9982.221121460001,0.0003,23700,828.8571649169921,-896.2213647460937,,
279,400,715,200000,500.0,9982.221121460001,,,,,,
285,404,715,204000,500.0,10158.16222624,0.0003,24200,746.9579043579101,-911.2193481445313,,
285,408,715,204000,500.0,10158.16222624,,,,,,
290,412,714,208000,500.0,10280.751873480001,0.0003,24700,836.7560458374023,-932.2040454101563,,
290,416,714,208000,500.0,10280.751873480001,,,,,,
296,420,715,212000,500.0,10468.7002284,0.0003,25200,812.2959240722656,-946.3891479492188,,
296,424,715,212000,500.0,10468.7002284,,,,,,
302,428,714,216000,500.0,10821.10509518,0.0003,25700,794.4088287353516,-961.64060546875,,
302,432,714,216000,500.0,10821.10509518,,,,,,
307,436,715,220000,500.0,11004.276326549998,0.0003,26200,840.4904656982421,-982.0258740234375,,
307,440,715,220000,500.0,11004.276326549998,,,,,,
313,444,714,224000,500.0,11276.086615650001,0.0003,26700,884.1370147705078,-994.3067895507812,,
313,448,714,224000,500.0,11276.086615650001,,,,,,
318,452,715,228000,500.0,11518.070349650001,0.0003,27200,632.4652667236328,-1016.3121313476563,,
318,456,715,228000,500.0,11518.070349650001,,,,,,
324,460,715,232000,500.0,11727.329735590003,0.0003,27700,963.8238159179688,-1027.1645922851562,,
324,464,715,232000,500.0,11727.329735590003,,,,,,
330,468,715,236000,500.0,12020.534299940002,0.0003,28200,823.6059448242188,-1047.7495068359376,,
330,472,715,236000,500.0,12020.534299940002,,,,,,
,,,240000,,,0.0003,28700,758.0434698486329,-1065.93091796875,500.0,15275.623333399999
338,476,709,240000,500.0,12341.119423499998,,,,,,
338,480,709,240000,500.0,12341.119423499998,,,,,,
343,484,709,244000,500.0,12548.560803910003,0.0003,29200,759.4732598876953,-1079.582138671875,,
343,488,709,244000,500.0,12548.560803910003,,,,,,
349,492,710,248000,500.0,12856.869300670001,0.0003,29700,1045.6397393798827,-1092.0321044921875,,
349,496,710,248000,500.0,12856.869300670001,,,,,,
354,500,709,252000,500.0,13211.189478580001,0.0003,30200,854.8359246826171,-1115.312041015625,,
354,504,709,252000,500.0,13211.189478580001,,,,,,
360,508,710,256000,500.0,13458.675592480002,0.0003,30700,782.0659808349609,-1135.1291943359374,,
360,512,710,256000,500.0,13458.675592480002,,,,,,
366,516,710,260000,500.0,13788.64311355,0.0003,31200,807.4027117919921,-1149.479501953125,,
366,520,710,260000,500.0,13788.64311355,,,,,,
371,524,710,264000,500.0,13966.061478560001,0.0003,31700,838.5436700439453,-1167.6817919921875,,
371,528,710,264000,500.0,13966.061478560001,,,,,,
377,532,710,268000,500.0,14152.29865519,0.0003,32200,959.4647552490235,-1181.1504736328125,,
377,536,710,268000,500.0,14152.29865519,,,,,,
382,540,710,272000,500.0,14460.884507390003,0.0003,32700,894.4466436767578,-1202.4804150390626,,
382,544,710,272000,500.0,14460.884507390003,,,,,,
388,548,711,276000,500.0,14617.1636267,0.0003,33200,780.4484222412109,-1226.4871826171875,,
388,552,711,276000,500.0,14617.1636267,,,,,,
393,556,710,280000,500.0,14814.269772760003,0.0003,33700,840.9230889892578,-1235.30970703125,,
393,560,710,280000,500.0,14814.269772760003,,,,,,
399,564,711,284000,500.0,14866.248769360001,0.0003,34200,866.6932751464843,-1258.8248974609376,,
399,568,711,284000,500.0,14866.248769360001,,,,,,
405,572,711,288000,500.0,14937.0585182,0.0003,34700,937.3467376708984,-1277.048115234375,,
405,576,711,288000,500.0,14937.0585182,,,,,,
410,580,711,292000,500.0,14896.569491409999,0.0003,35200,801.6839880371094,-1294.1382568359375,,
410,584,711,292000,500.0,14896.569491409999,,,,,,
416,588,711,296000,500.0,14925.73356368,0.0003,35700,938.4488537597656,-1308.0432763671874,,
416,592,711,296000,500.0,14925.73356368,,,,,,
421,596,711,300000,500.0,14991.750663770003,0.0003,36200,796.475869140625,-1330.9228515625,,
421,600,711,300000,500.0,14991.750663770003,,,,,,
427,604,711,304000,500.0,15072.622428690001,0.0003,36700,662.4714007568359,-1354.8093505859374,,
427,608,711,304000,500.0,15072.622428690001,,,,,,
432,612,712,308000,500.0,15046.385657680004,0.0003,37200,646.7368182373046,-1382.66923828125,,
432,616,712,308000,500.0,15046.385657680004,,,,,,
438,620,712,312000,500.0,15119.99679424,0.0003,37700,522.0061822509765,-1400.474521484375,,
438,624,712,312000,500.0,15119.99679424,,,,,,
443,628,712,316000,500.0,15087.183705540001,0.0003,38200,502.54857849121095,-1423.485263671875,,
443,632,712,316000,500.0,15087.183705540001,,,,,,
,,,320000,,,0.0003,38700,513.806884765625,-1446.11671875,500.0,13517.183275200001
451,636,708,320000,500.0,15133.673820560001,,,,,,
451,640,708,320000,500.0,15133.673820560001,,,,,,
457,644,708,324000,500.0,15026.294226660002,0.0003,39200,534.3873712158203,-1463.2131591796874,,
457,648,708,324000,500.0,15026.294226660002,,,,,,
462,652,708,328000,500.0,14862.249436119997,0.0003,39700,575.964595336914,-1486.5659326171874,,
462,656,708,328000,500.0,14862.249436119997,,,,,,
468,660,708,332000,500.0,14697.472688439999,0.0003,40200,519.2211138916016,-1505.642900390625,,
468,664,708,332000,500.0,14697.472688439999,,,,,,
474,668,708,336000,500.0,14697.77746915,0.0003,40700,555.6142565917969,-1526.187265625,,
474,672,708,336000,500.0,14697.77746915,,,,,,
479,676,708,340000,500.0,14615.37821864,0.0003,41200,533.0265948486328,-1549.1521240234374,,
479,680,708,340000,500.0,14615.37821864,,,,,,
485,684,708,344000,500.0,14627.100504600001,0.0003,41700,521.1828399658203,-1563.808427734375,,
485,688,708,344000,500.0,14627.100504600001,,,,,,
490,692,709,348000,500.0,14609.527611860001,0.0003,42200,511.3078503417969,-1587.4474072265625,,
490,696,709,348000,500.0,14609.527611860001,,,,,,
496,700,709,352000,500.0,14442.296891959999,0.0003,42700,515.6614300537109,-1605.20951171875,,
496,704,709,352000,500.0,14442.296891959999,,,,,,
501,708,709,356000,500.0,14399.44163003,0.0003,43200,504.59915832519533,-1627.1249169921875,,
501,712,709,356000,500.0,14399.44163003,,,,,,
507,716,709,360000,500.0,14283.763078190002,0.0003,43700,527.9762860107422,-1650.080615234375,,
507,720,709,360000,500.0,14283.763078190002,,,,,,
512,724,709,364000,500.0,14293.905476089998,0.0003,44200,522.086322631836,-1667.8949267578125,,
512,728,709,364000,500.0,14293.905476089998,,,,,,
518,732,709,368000,500.0,14211.377157350002,0.0003,44700,536.2740063476563,-1688.6464892578124,,
518,736,709,368000,500.0,14211.377157350002,,,,,,
523,740,710,372000,500.0,14073.238260490003,0.0003,45200,547.0564147949219,-1697.379599609375,,
523,744,710,372000,500.0,14073.238260490003,,,,,,
529,748,709,376000,500.0,14200.47276193,0.0003,45700,530.5690118408203,-1721.644443359375,,
529,752,709,376000,500.0,14200.47276193,,,,,,
535,756,710,380000,500.0,14360.262382190002,0.0003,46200,539.2048400878906,-1743.64818359375,,
535,760,710,380000,500.0,14360.262382190002,,,,,,
540,764,710,384000,500.0,14253.650523440003,0.0003,46700,539.1907006835937,-1762.15365234375,,
540,768,710,384000,500.0,14253.650523440003,,,,,,
546,772,710,388000,500.0,14158.62724146,0.0003,47200,575.1887493896485,-1781.104248046875,,
546,776,710,388000,500.0,14158.62724146,,,,,,
551,780,710,392000,500.0,14360.129915500002,0.0003,47700,544.8891137695313,-1801.78890625,,
551,784,710,392000,500.0,14360.129915500002,,,,,,
557,788,710,396000,500.0,14399.173698910003,0.0003,48200,547.1648773193359,-1818.4740380859375,,
557,792,710,396000,500.0,14399.173698910003,,,,,,
,,,400000,,,0.0003,48700,541.4953912353516,-1835.6563720703125,500.0,12528.818564000001
565,796,707,400000,500.0,14389.572668230003,,,,,,
565,800,707,400000,500.0,14389.572668230003,,,,,,
571,804,707,404000,500.0,14545.8701033,0.0003,49200,518.0974523925781,-1855.37357421875,,
571,808,707,404000,500.0,14545.8701033,,,,,,
576,812,707,408000,500.0,14576.815536130001,0.0003,49700,509.8909814453125,-1877.1606201171876,,
576,816,707,408000,500.0,14576.815536130001,,,,,,
582,820,707,412000,500.0,14605.110787310005,0.0003,50200,498.2993402099609,-1895.024951171875,,
582,824,707,412000,500.0,14605.110787310005,,,,,,
587,828,707,416000,500.0,14082.185783999998,0.0003,50700,555.8248461914062,-1898.607177734375,,
587,832,707,416000,500.0,14082.185783999998,,,,,,
593,836,707,420000,500.0,13926.85158713,0.0003,51200,592.3231060791015,-1920.6150048828124,,
593,840,707,420000,500.0,13926.85158713,,,,,,
598,844,708,424000,500.0,13852.58517853,0.0003,51700,606.6593927001953,-1934.0525439453124,,
598,848,708,424000,500.0,13852.58517853,,,,,,
604,852,708,428000,500.0,13743.07457313,0.0003,52200,638.1842224121094,-1958.287568359375,,
604,856,708,428000,500.0,13743.07457313,,,,,,
609,860,708,432000,500.0,13852.131577949998,0.0003,52700,668.83169921875,-1973.8988671875,,
609,864,708,432000,500.0,13852.131577949998,,,,,,
615,868,708,436000,500.0,14030.263256390002,0.0003,53200,638.549429321289,-1986.954755859375,,
615,872,708,436000,500.0,14030.263256390002,,,,,,
620,876,708,440000,500.0,13833.861261559998,0.0003,53700,637.0221051025391,-2005.601640625,,
620,880,708,440000,500.0,13833.861261559998,,,,,,
626,884,708,444000,500.0,13845.817936869995,0.0003,54200,679.5815795898437,-2021.94771484375,,
626,888,708,444000,500.0,13845.817936869995,,,,,,
632,892,708,448000,500.0,13826.402386749996,0.0003,54700,771.7465301513672,-2039.2561279296874,,
632,896,708,448000,500.0,13826.402386749996,,,,,,
637,900,708,452000,500.0,13774.13028332,0.0003,55200,806.8680078125,-2052.13591796875,,
637,904,708,452000,500.0,13774.13028332,,,,,,
643,908,709,456000,500.0,13814.44862219,0.0003,55700,722.9980877685547,-2076.782744140625,,
643,912,709,456000,500.0,13814.44862219,,,,,,
648,916,709,460000,500.0,13748.65202732,0.0003,56200,696.1992419433594,-2083.8794677734377,,
648,920,709,460000,500.0,13748.65202732,,,,,,
654,924,709,464000,500.0,14417.829185510001,0.0003,56700,666.3107635498047,-2109.23427734375,,
654,928,709,464000,500.0,14417.829185510001,,,,,,
659,932,709,468000,500.0,14601.3045692,0.0003,57200,667.5999523925781,-2122.224853515625,,
659,936,709,468000,500.0,14601.3045692,,,,,,
665,940,709,472000,500.0,14695.691664200001,0.0003,57700,788.4038366699219,-2128.34185546875,,
665,944,709,472000,500.0,14695.691664200001,,,,,,
670,948,709,476000,500.0,14812.783663049997,0.0003,58200,730.7908258056641,-2152.883828125,,
670,952,709,476000,500.0,14812.783663049997,,,,,,
,,,480000,,,0.0003,58700,753.6801922607422,-2167.536591796875,500.0,15229.156228800002
679,956,706,480000,500.0,14777.14640009,,,,,,
679,960,706,480000,500.0,14777.14640009,,,,,,
684,964,706,484000,500.0,14074.57335098,0.0003,59200,742.5355297851562,-2179.05427734375,,
684,968,706,484000,500.0,14074.57335098,,,,,,
690,972,706,488000,500.0,14139.62671015,0.0003,59700,784.8730816650391,-2188.951982421875,,
690,976,706,488000,500.0,14139.62671015,,,,,,
695,980,707,492000,500.0,14135.136502770001,0.0003,60200,811.6065594482421,-2205.023076171875,,
695,984,707,492000,500.0,14135.136502770001,,,,,,
701,988,707,496000,500.0,14099.366087120003,0.0003,60700,743.9943872070312,-2216.010283203125,,
701,992,707,496000,500.0,14099.366087120003,,,,,,
706,996,707,500000,500.0,14171.104788749997,0.0003,61200,939.5504150390625,-2230.29541015625,,
706,1000,707,500000,500.0,14171.104788749997,,,,,,
