time/fps,time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/episodes,train/n_updates,train/actor_loss,train/critic_loss,train/learning_rate,eval/mean_ep_length,eval/mean_reward
708,490,13063.368082960002,348000,500.0,692,42200,-1664.167607421875,58.99038997650146,0.0003,,
708,490,13063.368082960002,348000,500.0,696,,,,,,
709,496,13064.55296234,352000,500.0,700,42700,-1683.1880126953124,56.23210334777832,0.0003,,
709,496,13064.55296234,352000,500.0,704,,,,,,
709,502,13070.7045621,356000,500.0,708,43200,-1696.575205078125,49.294689598083494,0.0003,,
709,502,13070.7045621,356000,500.0,712,,,,,,
709,507,13087.67427241,360000,500.0,716,43700,-1716.663173828125,53.16466529846191,0.0003,,
709,507,13087.67427241,360000,500.0,720,,,,,,
709,513,13100.945005579995,364000,500.0,724,44200,-1733.3452392578124,54.32385486602783,0.0003,,
709,513,13100.945005579995,364000,500.0,728,,,,,,
709,518,13108.27601026,368000,500.0,732,44700,-1744.1640087890626,43.5309351348877,0.0003,,
709,518,13108.27601026,368000,500.0,736,,,,,,
709,524,13114.405667850002,372000,500.0,740,45200,-1765.40578125,41.464052047729496,0.0003,,
709,524,13114.405667850002,372000,500.0,744,,,,,,
710,529,13128.147101710001,376000,500.0,748,45700,-1784.4959423828125,49.82565128326416,0.0003,,
710,529,13128.147101710001,376000,500.0,752,,,,,,
709,535,13135.33293086,380000,500.0,756,46200,-1798.4223486328126,42.77164577484131,0.0003,,
709,535,13135.33293086,380000,500.0,760,,,,,,
710,540,13148.19077773,384000,500.0,764,46700,-1816.177431640625,42.74204387664795,0.0003,,
710,540,13148.19077773,384000,500.0,768,,,,,,
710,546,13148.394818090002,388000,500.0,772,47200,-1833.5152001953124,44.983816604614255,0.0003,,
710,546,13148.394818090002,388000,500.0,776,,,,,,
710,551,13150.06413366,392000,500.0,780,47700,-1847.8650634765625,43.0834952545166,0.0003,,
710,551,13150.06413366,392000,500.0,784,,,,,,
710,557,13159.874797710001,396000,500.0,788,48200,-1873.067216796875,44.877823734283446,0.0003,,
710,557,13159.874797710001,396000,500.0,792,,,,,,
,,,400000,,,48700,-1880.7394970703126,45.49007188796997,0.0003,500.0,13246.465303800001
706,565,13168.860005990002,400000,500.0,796,,,,,,
706,565,13168.860005990002,400000,500.0,800,,,,,,
707,571,13169.345375679999,404000,500.0,804,49200,-1894.785703125,33.94805295944214,0.0003,,
707,571,13169.345375679999,404000,500.0,808,,,,,,
707,576,13170.704281909999,408000,500.0,812,49700,-1911.1639892578125,38.58581272125244,0.0003,,
707,576,13170.704281909999,408000,500.0,816,,,,,,
707,582,13168.163683440001,412000,500.0,820,50200,-1925.5123486328125,40.11146434783936,0.0003,,
707,582,13168.163683440001,412000,500.0,824,,,,,,
707,587,13171.00964504,416000,500.0,828,50700,-1941.3202490234376,41.19927816390991,0.0003,,
707,587,13171.00964504,416000,500.0,832,,,,,,
707,593,13176.822249129997,420000,500.0,836,51200,-1961.165703125,38.17522254943847,0.0003,,
707,593,13176.822249129997,420000,500.0,840,,,,,,
707,598,13178.06826384,424000,500.0,844,51700,-1976.39890625,35.15957052230835,0.0003,,
707,598,13178.06826384,424000,500.0,848,,,,,,
708,604,13178.85689386,428000,500.0,852,52200,-1993.7180517578124,35.980106887817385,0.0003,,
708,604,13178.85689386,428000,500.0,856,,,,,,
708,609,13179.354712150001,432000,500.0,860,52700,-2007.334873046875,31.12169548034668,0.0003,,
708,610,13179.354712150001,432000,500.0,864,,,,,,
708,615,13179.557996960002,436000,500.0,868,53200,-2020.5453173828125,29.875867290496828,0.0003,,
708,615,13179.557996960002,436000,500.0,872,,,,,,
708,620,13181.158179399998,440000,500.0,876,53700,-2036.4954736328125,36.95732865333557,0.0003,,
708,620,13181.158179399998,440000,500.0,880,,,,,,
708,626,13187.528799750002,444000,500.0,884,54200,-2054.14572265625,27.740710849761964,0.0003,,
708,626,13187.528799750002,444000,500.0,888,,,,,,
708,631,13192.290969279997,448000,500.0,892,54700,-2064.992060546875,25.84701862335205,0.0003,,
708,631,13192.290969279997,448000,500.0,896,,,,,,
708,637,13197.76865159,452000,500.0,900,55200,-2081.866669921875,23.755425901412963,0.0003,,
708,637,13197.76865159,452000,500.0,904,,,,,,
709,642,13204.501178360002,456000,500.0,908,55700,-2090.91244140625,23.03580509185791,0.0003,,
709,642,13204.501178360002,456000,500.0,912,,,,,,
709,648,13206.27995164,460000,500.0,916,56200,-2109.07748046875,27.947971363067627,0.0003,,
709,648,13206.27995164,460000,500.0,920,,,,,,
709,653,13207.52169744,464000,500.0,924,56700,-2117.74431640625,27.085086402893065,0.0003,,
709,653,13207.52169744,464000,500.0,928,,,,,,
709,659,13206.431747620001,468000,500.0,932,57200,-2131.955185546875,23.791131839752197,0.0003,,
709,659,13206.431747620001,468000,500.0,936,,,,,,
709,664,13201.493635530001,472000,500.0,940,57700,-2141.981298828125,20.292332162857054,0.0003,,
709,664,13201.493635530001,472000,500.0,944,,,,,,
710,670,13206.007818830001,476000,500.0,948,58200,-2150.003671875,30.161948528289795,0.0003,,
710,670,13206.007818830001,476000,500.0,952,,,,,,
,,,480000,,,58700,-2161.95814453125,25.74330778121948,0.0003,500.0,13240.997350200001
707,678,13211.988508530003,480000,500.0,956,,,,,,
707,678,13211.988508530003,480000,500.0,960,,,,,,
708,683,13216.022885349998,484000,500.0,964,59200,-2177.70419921875,27.748544731140136,0.0003,,
708,683,13216.022885349998,484000,500.0,968,,,,,,
708,688,13217.380248719996,488000,500.0,972,59700,-2186.14107421875,27.171474123001097,0.0003,,
708,688,13217.380248719996,488000,500.0,976,,,,,,
708,693,13214.248013889997,492000,500.0,980,60200,-2199.769443359375,21.457638654708862,0.0003,,
708,693,13214.248013889997,492000,500.0,984,,,,,,
708,699,13219.973510550002,496000,500.0,988,60700,-2210.87623046875,21.820982494354247,0.0003,,
708,699,13219.973510550002,496000,500.0,992,,,,,,
708,705,13217.922659439999,500000,500.0,996,61200,-2219.475966796875,28.116349363327025,0.0003,,
708,705,13217.922659439999,500000,500.0,1000,,,,,,
