train/n_updates,train/actor_loss,train/critic_loss,train/ent_coef,rollout/ep_len_mean,time/total_timesteps,train/ent_coef_loss,time/time_elapsed,rollout/ep_rew_mean,time/episodes,train/learning_rate,time/fps,eval/mean_reward,eval/mean_ep_length
,,,,500.0,1096192,,106,-594.23985014,2184,,523,,
,,,,500.0,1096192,,106,-594.23985014,2188,,523,,
155621,2587.3359375,822.8245849609375,1.8735580444335938,,1100192,0.09458721429109573,,,,0.0003,,-744.8845612,500.0
155871,2563.837646484375,781.847900390625,1.7952196598052979,500.0,1104192,0.07929246872663498,125,-573.32730526,2192,0.0003,511,,
,,,,500.0,1104192,,125,-573.32730526,2196,,511,,
,,,,500.0,1104192,,125,-573.32730526,2200,,511,,
,,,,500.0,1104192,,125,-573.32730526,2204,,511,,
156371,2522.271240234375,952.7686767578125,1.649186611175537,500.0,1112192,0.09535893052816391,138,-581.4918042200001,2208,0.0003,520,,
,,,,500.0,1112192,,138,-581.4918042200001,2212,,520,,
,,,,500.0,1112192,,138,-581.4918042200001,2216,,520,,
,,,,500.0,1112192,,138,-581.4918042200001,2220,,520,,
156871,2474.1005859375,714.697509765625,1.5315139293670654,,1120192,-0.0015052389353513718,,,,0.0003,,-462.3596918,500.0
,,,,500.0,1120192,,157,-602.01642762,2224,,508,,
,,,,500.0,1120192,,157,-602.01642762,2228,,508,,
,,,,500.0,1120192,,157,-602.01642762,2232,,508,,
,,,,500.0,1120192,,157,-602.01642762,2236,,508,,
157371,2429.833984375,660.0100708007812,1.4280122518539429,500.0,1128192,-0.02452951669692993,171,-615.34189013,2240,0.0003,513,,
,,,,500.0,1128192,,171,-615.34189013,2244,,513,,
,,,,500.0,1128192,,171,-615.34189013,2248,,513,,
,,,,500.0,1128192,,171,-615.34189013,2252,,513,,
157871,2392.16064453125,562.9404296875,1.3386601209640503,500.0,1136192,0.028278866782784462,185,-620.3826203599998,2256,0.0003,516,,
,,,,500.0,1136192,,185,-620.3826203599998,2260,,516,,
,,,,500.0,1136192,,185,-620.3826203599998,2264,,516,,
,,,,500.0,1136192,,185,-620.3826203599998,2268,,516,,
158121,2385.52587890625,626.4376831054688,1.3033643960952759,,1140192,-0.03304366022348404,,,,0.0003,,-581.6502777999999,500.0
158371,2359.12939453125,539.9307861328125,1.2730371952056885,500.0,1144192,0.005729899741709232,205,-613.74061635,2272,0.0003,506,,
,,,,500.0,1144192,,205,-613.74061635,2276,,506,,
,,,,500.0,1144192,,205,-613.74061635,2280,,506,,
,,,,500.0,1144192,,205,-613.74061635,2284,,506,,
158871,2326.956787109375,595.2640380859375,1.2007015943527222,500.0,1152192,0.015340286307036877,218,-632.09436313,2288,0.0003,511,,
,,,,500.0,1152192,,218,-632.09436313,2292,,511,,
,,,,500.0,1152192,,218,-632.09436313,2296,,511,,
,,,,500.0,1152192,,218,-632.09436313,2300,,511,,
159371,2301.003173828125,565.9022827148438,1.1482820510864258,,1160192,0.014682041481137276,,,,0.0003,,-710.2314628,500.0
,,,,500.0,1160192,,236,-685.99529224,2304,,508,,
,,,,500.0,1160192,,236,-685.99529224,2308,,508,,
,,,,500.0,1160192,,236,-685.99529224,2312,,508,,
