time/fps,time/time_elapsed,train/actor_loss,time/total_timesteps,train/ent_coef,train/learning_rate,time/episodes,train/critic_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef_loss,train/n_updates,eval/mean_ep_length,eval/mean_reward
62,1337,-2083.279541015625,84000,1.142858862876892,0.0003,168,424.295166015625,10616.666937200001,500.0,-0.01285760197788477,82999,,
62,1371,-1936.487548828125,86000,1.1137210130691528,0.0003,172,1319.973876953125,10795.36865523,500.0,0.0069104209542274475,84999,,
62,1398,-2030.1947021484375,88000,1.0367460250854492,0.0003,176,640.8565063476562,10964.63907999,500.0,0.002922867191955447,86999,,
,,-2039.958984375,90000,1.0820858478546143,0.0003,,860.7661743164062,,,0.015386559069156647,88999,500.0,12482.110642399999
63,1428,,90000,,,180,,11100.71106814,500.0,,,,
62,1460,-2066.56298828125,92000,1.0543125867843628,0.0003,184,882.38037109375,11224.52449824,500.0,-0.0009159947512671351,90999,,
62,1497,-2082.124267578125,94000,1.0185377597808838,0.0003,188,1085.86767578125,11393.494484710005,500.0,-0.0021337969228625298,92999,,
62,1524,-2133.36669921875,96000,0.9610090255737305,0.0003,192,1212.198974609375,11528.021501520001,500.0,-0.006228229030966759,94999,,
63,1553,-1968.853759765625,98000,0.9307231307029724,0.0003,196,1635.927978515625,11683.06294565,500.0,0.009903284721076488,96999,,
,,-2065.75830078125,100000,0.9469767212867737,0.0003,,507.7025451660156,,,-0.005273624788969755,98999,500.0,12144.566482
63,1583,,100000,,,200,,11667.754069720002,500.0,,,,
63,1610,-2033.5277099609375,102000,0.8675477504730225,0.0003,204,1156.489013671875,11526.326290770001,500.0,0.028509631752967834,100999,,
63,1638,-2246.70068359375,104000,0.8411245346069336,0.0003,208,530.9973754882812,11677.4533184,500.0,-0.021361656486988068,102999,,
