rollout/ep_rew_mean,rollout/ep_len_mean,time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/n_updates,train/actor_loss,train/ent_coef_loss,train/critic_loss,train/ent_coef,eval/mean_ep_length,eval/mean_reward
10075.90051726,500.0,252,464,275,128000,0.0003,14700,-1133.6516796875,0.019666382381692528,778.8572485351563,0.5672251498699188,,
10075.90051726,500.0,256,464,275,128000,,,,,,,,
10110.593502349999,500.0,260,463,284,132000,0.0003,15200,-1167.3369067382812,0.012912683757022023,722.5307305908203,0.5908171892166137,,
10110.593502349999,500.0,264,463,284,132000,,,,,,,,
10286.3169517,500.0,268,463,293,136000,0.0003,15700,-1195.3439721679688,0.009755644463002682,811.2879577636719,0.6078923046588898,,
10286.3169517,500.0,272,463,293,136000,,,,,,,,
10409.836666230001,500.0,276,462,302,140000,0.0003,16200,-1226.6622143554687,0.0066095228306949135,709.4263040161132,0.6256184840202331,,
10409.836666230001,500.0,280,462,302,140000,,,,,,,,
10549.140126530001,500.0,284,462,311,144000,0.0003,16700,-1254.2262255859375,0.00704119295347482,781.8720297241211,0.6377216446399688,,
10549.140126530001,500.0,288,462,311,144000,,,,,,,,
10770.79719261,500.0,292,461,320,148000,0.0003,17200,-1277.295888671875,0.0053915896685794,820.7130075073242,0.647134187221527,,
10770.79719261,500.0,296,461,320,148000,,,,,,,,
10939.28244222,500.0,300,461,329,152000,0.0003,17700,-1302.7355346679688,0.018978186203166842,828.1502044677734,0.6674273478984832,,
10939.28244222,500.0,304,461,329,152000,,,,,,,,
11065.355668650001,500.0,308,460,338,156000,0.0003,18200,-1331.6849536132813,0.007165521485731006,679.0932354736328,0.6938852477073669,,
11065.355668650001,500.0,312,460,338,156000,,,,,,,,
,,,,,160000,0.0003,18700,-1358.9904296875,0.002638602443039417,635.3433804321289,0.7183745980262757,500.0,10491.871336399998
11287.004452740002,500.0,316,455,351,160000,,,,,,,,
11287.004452740002,500.0,320,455,351,160000,,,,,,,,
11579.468871300001,500.0,324,454,360,164000,0.0003,19200,-1386.0597802734376,0.007441019359976053,570.1911434936524,0.7405710959434509,,
11579.468871300001,500.0,328,454,360,164000,,,,,,,,
11921.580904969998,500.0,332,454,369,168000,0.0003,19700,-1410.72625,0.0012031486816704274,565.7428021240235,0.7723454141616821,,
11921.580904969998,500.0,336,454,369,168000,,,,,,,,
12033.832553889999,500.0,340,454,378,172000,0.0003,20200,-1436.0780053710937,-0.002855863170698285,587.7437002563477,0.7872668612003326,,
12033.832553889999,500.0,344,453,378,172000,,,,,,,,
12135.266213420004,500.0,348,453,387,176000,0.0003,20700,-1462.9837866210937,0.005106258522719145,635.0849163818359,0.8043434965610504,,
12135.266213420004,500.0,352,453,387,176000,,,,,,,,
12187.69910469,500.0,356,453,396,180000,0.0003,21200,-1487.2954077148438,0.004350315220654011,676.612734375,0.8515164995193482,,
12187.69910469,500.0,360,453,396,180000,,,,,,,,
12426.23027442,500.0,364,453,405,184000,0.0003,21700,-1514.5098583984375,0.00435597262578085,540.7280285644531,0.9049638211727142,,
12426.23027442,500.0,368,453,405,184000,,,,,,,,
12542.016399429996,500.0,372,453,414,188000,0.0003,22200,-1543.4183764648437,0.001165216257213615,583.5992138671875,0.9777957940101624,,
12542.016399429996,500.0,376,453,414,188000,,,,,,,,
12947.966647299998,500.0,380,453,423,192000,0.0003,22700,-1569.1036083984375,-0.0027381641045212744,626.2956726074219,1.0632926106452942,,
12947.966647299998,500.0,384,453,423,192000,,,,,,,,
13282.2045355,500.0,388,453,432,196000,0.0003,23200,-1592.2286108398437,-0.003321572202257812,635.1459295654297,1.1523957633972168,,
13282.2045355,500.0,392,453,432,196000,,,,,,,,
13644.06751003,500.0,396,452,441,200000,0.0003,23700,-1618.7968139648438,-0.0075406739907339215,641.8880419921875,1.2082318997383117,,
13644.06751003,500.0,400,452,441,200000,,,,,,,,
13928.814587619998,500.0,404,452,450,204000,0.0003,24200,-1641.560009765625,-0.01269474159926176,641.6005877685546,1.2769410181045533,,
13928.814587619998,500.0,408,452,450,204000,,,,,,,,
14014.06620642,500.0,412,452,459,208000,0.0003,24700,-1668.9635229492187,-0.012960116183385252,609.1283697509766,1.3401248741149903,,
14014.06620642,500.0,416,452,459,208000,,,,,,,,
14231.649851229999,500.0,420,452,468,212000,0.0003,25200,-1694.5960693359375,0.0013921970780938864,574.3101116943359,1.3925633239746094,,
14231.649851229999,500.0,424,452,468,212000,,,,,,,,
14379.322925470002,500.0,428,452,477,216000,0.0003,25700,-1719.21927734375,-0.006571300104260444,586.8152618408203,1.4123050522804261,,
14379.322925470002,500.0,432,452,477,216000,,,,,,,,
14386.841587390001,500.0,436,452,486,220000,0.0003,26200,-1740.9627099609374,-0.008188702305778861,568.349408569336,1.4559237694740295,,
14386.841587390001,500.0,440,452,486,220000,,,,,,,,
14476.550876590001,500.0,444,452,495,224000,0.0003,26700,-1769.4123315429688,0.00036861932836472987,640.0776666259766,1.5050018906593323,,
14476.550876590001,500.0,448,452,495,224000,,,,,,,,
14535.258299490002,500.0,452,451,504,228000,0.0003,27200,-1789.8899633789063,0.0011919925455003977,673.7691854858399,1.5223243188858033,,
14535.258299490002,500.0,456,451,504,228000,,,,,,,,
14632.58730032,500.0,460,451,513,232000,0.0003,27700,-1815.980087890625,-0.0027434299606829884,657.5538189697265,1.5473350310325622,,
14632.58730032,500.0,464,451,513,232000,,,,,,,,
14651.49434641,500.0,468,451,522,236000,0.0003,28200,-1843.2525439453125,-0.003024054802954197,669.7740734863281,1.5775173091888428,,
14651.49434641,500.0,472,451,522,236000,,,,,,,,
,,,,,240000,0.0003,28700,-1857.2347705078125,-0.0022259612753987314,680.9923486328125,1.6304104399681092,500.0,14322.3264494
14691.077179590002,500.0,476,447,535,240000,,,,,,,,
14691.077179590002,500.0,480,447,535,240000,,,,,,,,
14651.761481930002,500.0,484,448,544,244000,0.0003,29200,-1890.6151684570314,-0.010275206109508873,695.4432312011719,1.665804853439331,,
14651.761481930002,500.0,488,448,544,244000,,,,,,,,
14551.337618189998,500.0,492,447,553,248000,0.0003,29700,-1908.2377954101562,-0.008345967568457126,628.289873046875,1.706066837310791,,
14551.337618189998,500.0,496,447,553,248000,,,,,,,,
14517.26587996,500.0,500,447,562,252000,0.0003,30200,-1928.3996142578126,-0.0036292989086359737,622.6147088623047,1.7307472252845764,,
14517.26587996,500.0,504,447,562,252000,,,,,,,,
14503.999243829998,500.0,508,447,571,256000,0.0003,30700,-1949.4538598632812,-0.0023811750113964083,593.0525341796875,1.7465616369247436,,
